1	17612 4.18    16.267  44.108  42.708  46.849   0.054  11.996	65.557  41.124  39.951
2	17776 4.171   16.244  45.307  42.862  47.201  -0.067  74.484	59.965  80.329  74.484
3	17935 4.193   16.222  44.198  42.771  46.956   0.063  55.976	40.796  61.376  55.976
4	18099 4.165   16.205  45.368  42.864  47.201  -0.101  45.307	42.517  62.585  45.307
5	18264 4.152   16.185  44.203  42.781  46.979   0.039  42.247	68.089  35.177  42.247
6	18428 4.18    16.175  45.197  43.057  47.513   0.042  26.216	41.646  49.774  26.216
7	18593 4.193   16.162  44.082  42.762  46.908  -0.014  39.679	54.653  69.193  39.679
8	18757 4.168   16.152  45.182  43.01   47.446  -0.02   59.002	57.484  79.531  59.002
9	18921 4.165   16.145  44.057  42.736  46.886  -0.033  33.659	43.823  31.204  33.659
10	19085 4.156   16.145  45.189  42.983  47.426  -0.042  48.574	30.273  48.414  48.574
11	19250 4.149   16.157  44.051  42.726  46.892  -0.048  67.555	31.561  78.44	67.555
12	19414 4.128   16.182  45.203  42.967  47.417  -0.07   50.244	24.264  68.685  50.244
13	19578 4.14    16.208  44.055  42.719  46.903  -0.057  55.748	71.454  49.767  55.748
14	19738 4.143   16.229  45.071  43.077  47.585   0.051  62.461	53.936  81.922  62.461
15	19902 4.118   16.255  43.961  42.703  46.84   -0.088  65.84 	47.338  80.106  65.84
16	20066 4.112   16.274  45.057  43.039  47.522   0.005  71.331	65.795  75.732  71.331
17	20230 4.131   16.295  43.948  42.683  46.849   0.005  49.711	87.982  50.933  49.711
18	20395 4.118   16.318  45.035  43.012  47.488  -0.008  58.067	64.915  61.441  58.067
19	20559 4.121   16.343  43.922  42.658  46.792  -0.107  32.826	24.825  40.286  32.826
20	20724 4.1	  16.366  45.038  42.993  47.479  -0.061  28.591   -2.558	37.718  28.591
21	20888 4.143   16.389  44.04   42.65   46.79   -0.11   40.667	53.093  38.936  40.667
22	21053 4.109   16.414  44.9    43.069  47.56    0.06   43.862	44.448  39.888  43.862
23	21217 4.081   16.442  43.905  42.625  46.699  -0.157  40.095	9.437	49.408  40.095
24	21381 4.09    16.47   44.864  43.034  47.497   0.032  73.454	58.659  71.016  73.454
25	21540 4.078   16.496  44.523  42.661  46.799  -0.163  39.176	23.678  46.978  39.176
26	21704 4.072   16.526  44.741  43.07   47.613   0.06   47.795	46.373  51.797  47.795
