1	17213 5.842   28.994  44.763  44.208  45.976  -0.069  63.059  14.248  65.221  51.937
2	17377 5.839   28.87   45.896  44.436  46.536  -0.041  48.965  32.947  50.53   48.965
3	17542 5.864   28.749  45.236  44.419  46.451   0.086  76.79   119.99  29.202  76.79
4	17706 5.83    28.639  44.698  44.109  45.911  -0.097  41.517  58.928  6.811   41.517
5	17870 5.826   28.534  45.796  44.404  46.58   -0.01   30.787  59.661  17.527  30.787
6	18030 5.823   28.435  45.156  44.341  46.405   0.071  10.785  30.299  23.7    10.785
7	18194 5.823   28.339  45.043  44.033  45.892  -0.14   43.618  22.087  50.856  43.618
8	18353 5.82    28.246  45.606  44.501  46.765   0.12   34.536  13.546  42.746  34.536
9	18517 5.792   28.155  44.987  44.274  46.301  -0.019  51.248  3.649   76.879  51.248
10	18682 5.82    28.066  45.968  44.145  46.205  -0.202  51.926  41.79   75.574  51.926
11	18846 5.795   27.978  45.388  44.424  46.667   0.083  82.337  103.26  73.217  82.337
12	19157 5.792   27.84   45.882  44.44   46.771  -0.016  81.226  104.11  61.896  81.226
13	19321 5.764   27.74   45.189  44.358  46.548   0.027  81.577  85.727  66.945  81.577
14	19485 5.752   27.641  44.612  44.006  45.959  -0.171  47.076  36.749  41.093  47.076
15	19650 5.749   27.536  45.929  44.539  47.01    0.096  52.172  27.077  64.829  52.172
16	19814 5.743   27.438  45.232  44.395  46.651   0.043  17.995 -3.643   32.676  17.995
17	19979 5.706   27.394  44.708  44.058  46.034  -0.156  46.798  39.594  56.437  46.798
18	20143 5.727   27.23   45.601  44.438  46.847   0.068  73.483  41.591  89.788  73.483
19	20302 5.718   27.133  44.962  44.211  46.371   0.049  76.089  66.278  79.26   76.089
20	20466 5.712   27.024  45.477  43.931  46.022  -0.249  65.478  100.97  32.082  65.478
21	20631 5.733   26.91   45.322  44.286  46.666   0.046  25.877  7.373   45.214  25.877
22	20795 5.693   26.8    44.691  43.989  46.11   -0.146  61.812  74.875  80.244  61.812
23	20960 5.684   26.692  45.657  44.353  46.853   0.027  41.858  43.049  58.413  41.858
24	21124 5.668   26.578  44.966  44.154  46.426  -0.063  19.348  22.384  42.383  19.348
25	21289 5.653   26.458  45.799  43.98   46.205  -0.171  66.847  64.49   53.091  66.847
26	21453 5.668   26.347  45.272  44.245  46.689   0.024  63.441  80.944  37.77   63.441
