1	16445	14.56	18.54	44.62	42.79	46.98	6.662	71.54362	-8.54402
2	16605	14.52	18.54	44.65	42.48	46.4	6.452	74.55205	-5.53559
3	16766	14.53	18.53	44.48	42.74	46.89	6.632	73.92872	-6.15892
4	16927	14.55	18.53	45.16	42.54	46.58	6.442	83.21665	3.129013
5	17088	14.55	18.54	44.33	42.68	46.78	6.612	74.10462	-5.98302
6	17249	14.53	18.55	45.23	42.66	46.82	6.442	78.1916 	-1.89604
7	17409	14.54	18.56	44.2	42.62	46.67	6.572	87.57683	7.489191
8	17570	14.53	18.57	45.06	42.74	46.95	6.502	82.71834	2.630704
9	17731	14.54	18.58	44.07	42.55	46.56	6.522	71.70673	-8.38091
10	17891	14.56	18.58	44.9	42.77	47		6.582	75.84954	-4.2381
11	18052	14.56	18.58	43.95	42.49	46.45	6.482	66.4225 	-13.6651
12	18213	14.55	18.58	44.75	42.76	47		6.622	72.4699 	-7.61774
13	18374	14.51	18.57	43.87	42.43	46.32	6.452	55.79384	-24.2938
14	18534	14.54	18.52	44.61	42.73	46.94	6.622	80.7523 	0.664663
15	18695	14.54	18.55	44.32	42.37	46.28	6.432	79.63755	-0.45009
16	18856	14.55	18.53	44.47	42.69	46.87	6.622	73.84749	-6.24015
17	19017	14.55	18.51	44.85	42.42	46.41	6.412	81.97289	1.885247
18	19178	14.53	18.48	44.34	42.65	46.79	6.592	69.13349	-10.9541
19	19338	14.53	18.45	45.23	42.54	46.66	6.412	78.99308	-1.09456
20	19499	14.53	18.41	44.23	42.59	46.73	6.562	88.48778	8.400142
21	19660	14.52	18.37	45.11	42.65	46.89	6.402	85.08292	4.995284
22	19820	14.53	18.33	44.08	42.52	46.57	6.512	99.85333	19.76569
23	19981	14.53	18.29	44.92	42.7	46.94	6.502	96.92697	16.83933
24	20142	14.53	18.25	43.95	42.45	46.45	6.462	95.41509	15.32745
25	20302	14.53	18.21	44.76	42.69	46.95	6.562	91.17831	11.09067
