1	12178 4.735   17.398  45.102  43.476  47.196  4.493   96.858  39.346  77.644  72.873
2	12338 4.738   17.198  44.181  43.069  46.437  4.264   57.152  76.598  83.676  75.275
3	12502 4.732   17.034  45.488  43.371  47.132  4.348   27.895  71.229  69.67   59.616
4	12662 4.738   16.917  44.481  43.174  46.731  4.366   66.894  77.132  94.356  83.185
5	12826 4.726   16.82   45.769  43.22   46.94   4.292   94.114  33.329  75.191  69.456
6	12985 4.748   16.75   44.712  43.275  46.974  4.431   54.829  41.091  69.206  58.583
7	13144 4.779   16.69   44.264  42.795  46.156  4.183   59.191  30.906  81.093  63.071
8	13308 4.853   16.649  45.043  43.331  47.142  4.462   83.383  61.699  83.888  78.215
9	13473 4.785   16.599  44.087  42.91   46.4    4.252   42.474  28.241  52.369  43.863
10	13637 4.8     16.572  45.354  43.343  47.248  4.438   51.993  80.44   59.548  62.882
11	13802 4.81    16.562  44.307  43.042  46.644  4.323   72.725  39.622  55.639  55.906
12	13966 4.791   16.561  45.648  43.065  46.828  4.218   13.005  52.872  74.456  53.697
13	14131 4.831   16.569  44.576  43.137  46.881  4.413   93.65   96.656  79.338  87.246
14	14295 4.807   16.585  45.249  42.898  46.524  4.183   50.671  81.238  82.99   74.472
15	14459 4.838   16.617  44.78   43.228  47.06   4.462   91.973  79.674  63.843  74.833
16	14618 4.825   16.661  44.435  42.807  46.309  4.221   66.095  46.637  106.36  81.365
17	14783 4.831   16.714  45.037  43.307  47.223  4.481   45.338  63.178  59.31   56.784
18	14942 4.844   16.793  44.126  42.935  46.49   4.273   70.041  11.668  86.093  63.474
19	15106 4.819   16.89   45.453  43.208  47.099  4.314   94.35   95.051  76.402  85.551
20	15271 4.834   16.991  44.423  43.07   46.765  4.369   32.097  64.492  50.872  49.583
21	15435 4.819   17.09   45.689  43.122  46.926  4.252   66.341  82.194  52.149  63.208
22	15594 4.862   17.147  44.667  43.215  46.986  4.431   66.279  84.568  22.271  48.847
23	15753 4.85    17.175  44.201  42.764  46.179  4.196   71.358  73.162  50.798  61.529
24	15917 4.853   17.185  45.043  43.285  47.169  4.472   103.03  45.575  42.899  58.601
25	16082 4.862   17.183  44.111  42.93   46.444  4.273   132.15  99.681  46.11   81.013
26	16246 4.844   17.171  45.427  43.218  47.071  4.323   87.723  72.157  58.756  69.348
