1	11884 5.544   29.247  44.532  43.948  46.126  4.078   77.448  101.93  29.469  59.578
2	12049 5.551   29.191  45.911  44.457  47.054  4.28    10.701  6.453   73.173  40.875
3	12213 5.594   29.207  45.204  44.395  46.749  4.289   98.485  58.601  50.978  64.76
4	12378 5.6     29.247  44.623  44.067  46.096  4.084   65.848  53.66   66.723  63.239
5	12542 5.597   29.303  46.07   44.493  46.942  4.221   16.658  0.817   67.51   38.124
6	12707 5.634   29.361  45.345  44.503  46.787  4.329   -34.303 66.373  69.575  42.805
7	12871 5.644   29.426  44.768  44.196  46.172  4.115   -10.191 9.967   37.326  18.607
8	13036  5.65   29.494  46.2    44.52   46.847  4.187   9.947   22.363  45.431  30.793
9	13200 5.712   29.569  45.469  44.6    46.833  4.363   43.254  64.893  66.027  60.051
10	13364 5.702   29.643  44.892  44.308  46.249  4.168   135.1   70.33   40.848  71.781
11	13529 5.702   29.703  45.971  44.196  46.175  4.05    48.27   67.264  41.783  49.775
12	13693 5.737   29.749  45.696  44.682  46.938  4.407   37.705  77.679  36.069  46.881
13	13853 5.743   29.788  45.113  44.46   46.433  4.233   -5.969  56.475  82.74   53.997
14	14017 5.786   29.814  44.724  44.113  45.85   4.094   -20.598 38.705  65.283  37.168
15	14182 5.746   29.805  45.643  44.634  46.744  4.342   73.303  26.868  90.229  70.157
16	14346 5.78    29.837  45.049  44.392  46.308  4.224   29.874  54.333  75.679  58.891
17	14510 5.777   29.831  45.033  44.068  45.792  4.084   47.414  68.895  51.885  55.02
18	14675 5.792   29.82   45.579  44.561  46.685  4.342   44.201  3.269   76.995  50.365
19	14840 5.802   29.798  44.997  44.358  46.228  4.205   20.43   46.174  78.499  55.901
20	15004 5.805   29.769  45.378  44.091  45.839  4.066   -15.964 85.294  59.565  47.115
21	15168 5.839   29.735  45.845  44.729  46.947  4.441   20.466  19.277  103.97  61.923
22	15333 5.839   29.695  45.237  44.551  46.497  4.295   9.21    51.932  61.2    45.886
23	15497 5.83    29.652  44.734  44.213  45.934  4.112   -4.156  65.153  69.696  50.097
24	15662 5.91    29.662  46.172  44.672  46.837  4.289   7.927   78.638  53.732  48.507
25	15826 5.854   29.549  45.502  44.665  46.731  4.376   67.421  73.403  97.462  83.937
26	15991 5.842   29.491  44.957  44.377  46.188  4.177   86.451  95.419  40.366  65.651
